category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Action Games,"15 Nov, 2024",MacroTree Games,DeltaPhysics,"win,linux",None,,,"Nonlinear,Physics,Metroidvania,Minimalist,Action,Puzzle,Platformer,2D,Puzzle,Platformer,2D,Platformer,Indie,Early,Access,Science,Singleplayer"
Casual Games,"3 May, 2019",IDC Games,Physics Drop,"win,mac",None,,,"Indie,Casual"
Simulation Games,"6 Oct, 2021",Gaming-Apps.com,Water Physics Simulation,win,None,Very Positive,76,"Simulation,Sandbox,Physics,Destruction,Building,Automobile,Sim,God,Game,2D,Relaxing,Indie,Casual,Minimalist,Singleplayer,Cartoon"
Indie Games,"5 Aug, 2022",Partygamer3000,Physics Playground,win,None,Mostly Positive,11,"Casual,Indie,Physics,Sandbox,Simulation,Relaxing,Funny,Open,World,Minimalist,Arcade,Colorful,Singleplayer,3D,Platformer,3D,Platformer,Destruction,FPS"
Simulation Games,"22 Aug, 2021",Merriman Games,Physics Cake,win,None,Mixed,10,"Casual,Simulation,Building,Sandbox,2D,Minimalist,Pixel,Graphics,Physics,Indie,Singleplayer,Early,Access"
Indie Games,"7 Jan, 2009",Kloonigames,Crayon Physics Deluxe,"win,mac","122,36zł",Very Positive,334,"Puzzle,Indie,Casual,Physics,Family,Friendly,Singleplayer,Touch-Friendly,2D,Cute,Relaxing,Sandbox,Level,Editor,Great,Soundtrack,Simulation,Hand-drawn"
Free To Play Games,"24 Mar, 2024",Jilted Generation Productions,Unreal Physics,win,None,Mostly Positive,207,"Physics,Sandbox,Free,to,Play,Casual,Destruction,Action,Exploration,Immersive,Sim,Third-Person,Shooter,3D,Realistic,First-Person,Animation,&,Modeling,Third,Person,Game,Development,Nonlinear,Singleplayer,Gaming,Immersive,Indie"
Action Games,Coming soon,Square Dynamics Ltd.,Alternator: Tactical Stealth Operations,win,None,,,"Action,Adventure,Early,Access"
Indie Games,"7 May, 2023",Barlow Games Ltd,Physics Lab,win,None,Positive,25,"Casual,Atmospheric,Sandbox,3D,Action,Minimalist,Stylized,First-Person,Physics,Logic,Nonlinear,Singleplayer,Free,to,Play,Indie,Strategy,Adventure,RPG"
Action Games,Coming soon,Semaeopus,OFF GRID : Stealth Hacking,"win,mac,linux",None,,,"Hacking,Stealth,Cyberpunk,Programming,Immersive,Sim,Dystopian,Political,Politics,Conspiracy,Story,Rich,Artificial,Intelligence,Exploration,Third,Person,Realistic,Investigation,Beautiful,Action-Adventure,Moddable,Conversation,Action"
Action Games,Coming soon,Sky Yurt,Stealth Kill VR Missions,win,None,,,"VR,Stealth,Action,Shooter,Singleplayer,Adventure,Tactical,Assassin,Sci-fi,Artificial,Intelligence,Conspiracy,Dystopian,Sandbox,FPS,Futuristic,Atmospheric,3D,Combat,First-Person,Military"
Action Games,Coming soon,iwilliams,Exfiltrator: Cyber Stealth Missions,"win,linux",None,,,"Action,Stealth,Action-Adventure,Retro,Old,School,Third,Person,Tactical,Singleplayer,3D,Cyberpunk,Stylized,Futuristic,Robots,Top-Down,Controller,Female,Protagonist,Top-Down,Shooter"
Action Games,To be announced,Alchemy Games,Sin Squad: Stealth Assassins,win,None,,,"Stealth,Action,Assassin,Comic,Book,Immersive,Sim,3D,Strategy,Underground,Action-Adventure,Singleplayer,Exploration,Stylized,Third-Person,Shooter,Third,Person,Crime,Controller,Physics,PvE,Nonlinear,Gore"
Indie Games/Visumeca Games Franchise,"19 Feb, 2021",Visumeca Games,Volt Patrol - Stealth Driving,win,None,Positive,32,"Stealth,Driving,Puzzle,Funny,Atmospheric,Comedy,Indie,Dark,Sci-fi,Exploration,Short,Third,Person,Action,3D,Singleplayer,Minimalist,3D,Vision,2D"
Action Games,"5 Jan, 2024",HapGames,Stealth Assault: Urban Strike,win,"91,58zł",Mostly Positive,12,"Hero,Shooter,FPS,Shoot,'Em,Up,Sports,Sniper,Military,War,RPG,Shooter,Strategy,Action,RPG,3D,First-Person,Action,Bullet,Time,Simulation,Combat,Inventory,Management,Singleplayer,Violent"
Simulation Games,"1 Jan, 1988","MicroProse Software, Inc",F-19 Stealth Fighter,"win,linux","5,09zł",Very Positive,76,"Simulation,Flight,Stealth,Classic,Retro"
Racing Games,"2 Sep, 2022",halfmule,Stealth Kart,win,None,1 user reviews,1,"Stealth,Real,Time,Tactics,Local,Co-Op,Family,Friendly,Cute,Linear,Co-op,Action,Puzzle,Tactical,Aliens,Controller,Arcade,3D,Casual,Driving,Combat,Racing,Local,Multiplayer,Vehicular,Combat,Cartoon"
